,date,bid,ask,mid_USD3MOIS
0,2023-11-23,5.361,5.411,5.385999999999999
1,2023-11-22,5.3606,5.4106,5.3856
2,2023-11-21,5.352,5.402,5.377000000000001
3,2023-11-20,5.3491,5.3991,5.3741
4,2023-11-17,5.3446,5.3946,5.3696
5,2023-11-16,5.3412,5.3912,5.3662
6,2023-11-15,5.3436,5.3936,5.368600000000001
7,2023-11-14,5.3399,5.3899,5.3649000000000004
8,2023-11-13,5.369,5.419,5.394
9,2023-11-10,5.3618,5.4118,5.3868
10,2023-11-09,5.3637,5.4137,5.3887
11,2023-11-08,5.3574,5.4074,5.3824000000000005
12,2023-11-07,5.3536,5.4036,5.3786000000000005
13,2023-11-06,5.353,5.403,5.378
14,2023-11-03,5.3494,5.3994,5.3744
15,2023-11-02,5.3692,5.4192,5.3942
16,2023-11-01,5.381,5.401,5.391
17,2023-10-31,5.3805,5.4305,5.4055
18,2023-10-30,5.3731,5.4231,5.3980999999999995
19,2023-10-27,5.3606,5.4106,5.3856
20,2023-10-26,5.3656,5.4156,5.3906
21,2023-10-25,5.39,5.41,5.4
22,2023-10-24,5.3735,5.4235,5.3985
23,2023-10-23,5.3686,5.4186,5.393599999999999
24,2023-10-20,5.3628,5.4128,5.3878
25,2023-10-19,5.372,5.422,5.397
26,2023-10-18,5.392,5.442,5.417
27,2023-10-17,5.4039,5.4539,5.4289000000000005
28,2023-10-16,5.3848,5.4348,5.409800000000001
29,2023-10-13,5.395,5.415,5.404999999999999
30,2023-10-12,5.3881,5.4381,5.4131
31,2023-10-11,5.3757,5.4257,5.4007000000000005
32,2023-10-10,5.3835,5.4335,5.4085
33,2023-10-09,5.381,5.421,5.401
34,2023-10-06,5.4114,5.4614,5.436400000000001
35,2023-10-05,5.3933,5.4433,5.4183
36,2023-10-04,5.3991,5.4491,5.424099999999999
37,2023-10-03,5.411,5.461,5.436
38,2023-10-02,5.4053,5.4553,5.430300000000001
39,2023-09-29,5.396,5.416,5.406000000000001
40,2023-09-28,5.391,5.431,5.411
41,2023-09-27,5.3908,5.4408,5.4158
42,2023-09-26,5.3789,5.4289,5.4039
43,2023-09-25,5.3793,5.4293,5.404299999999999
44,2023-09-22,5.381,5.431,5.406000000000001
45,2023-09-21,5.3918,5.4418,5.4168
46,2023-09-20,5.3931,5.4431,5.4181
47,2023-09-19,5.3893,5.4393,5.414300000000001
48,2023-09-18,5.3903,5.4403,5.4153
49,2023-09-15,5.3869,5.4369,5.411899999999999
50,2023-09-14,5.3919,5.4419,5.4169
