date,/SRAU3,dd,mm,yyyy
2023-11-24,94.65,24,11,2023
2023-11-22,94.65,22,11,2023
2023-11-21,94.65,21,11,2023
2023-11-20,94.65,20,11,2023
2023-11-17,94.6525,17,11,2023
2023-11-16,94.65,16,11,2023
2023-11-15,94.65,15,11,2023
2023-11-14,94.65,14,11,2023
2023-11-13,94.6525,13,11,2023
2023-11-10,94.6525,10,11,2023
2023-11-09,94.65,9,11,2023
2023-11-08,94.65,8,11,2023
2023-11-07,94.65,7,11,2023
2023-11-06,94.65,6,11,2023
2023-11-03,94.65,3,11,2023
2023-11-02,94.65,2,11,2023
2023-11-01,94.65,1,11,2023
2023-10-31,94.65,31,10,2023
2023-10-30,94.65,30,10,2023
2023-10-27,94.6525,27,10,2023
2023-10-26,94.65,26,10,2023
2023-10-25,94.6475,25,10,2023
2023-10-24,94.65,24,10,2023
2023-10-23,94.65,23,10,2023
2023-10-20,94.6525,20,10,2023
2023-10-19,94.645,19,10,2023
2023-10-18,94.64,18,10,2023
2023-10-17,94.6325,17,10,2023
2023-10-16,94.64,16,10,2023
2023-10-13,94.6375,13,10,2023
2023-10-12,94.635,12,10,2023
2023-10-11,94.6375,11,10,2023
2023-10-10,94.6325,10,10,2023
2023-10-09,94.635,9,10,2023
2023-10-06,94.6125,6,10,2023
2023-10-05,94.625,5,10,2023
2023-10-04,94.625,4,10,2023
2023-10-03,94.61,3,10,2023
2023-10-02,94.615,2,10,2023
2023-09-29,94.63,29,9,2023
2023-09-28,94.625,28,9,2023
2023-09-27,94.6225,27,9,2023
2023-09-26,94.6275,26,9,2023
2023-09-25,94.625,25,9,2023
2023-09-22,94.6225,22,9,2023
2023-09-21,94.6125,21,9,2023
2023-09-20,94.61,20,9,2023
2023-09-19,94.6075,19,9,2023
2023-09-18,94.605,18,9,2023
2023-09-15,94.6075,15,9,2023
2023-09-14,94.6,14,9,2023
2023-09-13,94.59,13,9,2023
2023-09-12,94.5825,12,9,2023
2023-09-11,94.58,11,9,2023
2023-09-08,94.585,8,9,2023
2023-09-07,94.5825,7,9,2023
2023-09-06,94.58,6,9,2023
2023-09-05,94.58,5,9,2023
2023-09-01,94.595,1,9,2023
2023-08-31,94.5875,31,8,2023
2023-08-30,94.5775,30,8,2023
2023-08-29,94.5675,29,8,2023
2023-08-28,94.54,28,8,2023
2023-08-25,94.545,25,8,2023
2023-08-24,94.565,24,8,2023
2023-08-23,94.5875,23,8,2023
2023-08-22,94.5775,22,8,2023
2023-08-21,94.585,21,8,2023
2023-08-18,94.6,18,8,2023
2023-08-17,94.5875,17,8,2023
2023-08-16,94.585,16,8,2023
2023-08-15,94.59,15,8,2023
2023-08-14,94.5875,14,8,2023
2023-08-11,94.595,11,8,2023
2023-08-10,94.61,10,8,2023
2023-08-09,94.6,9,8,2023
2023-08-08,94.6,8,8,2023
2023-08-07,94.6,7,8,2023
2023-08-04,94.6,4,8,2023
2023-08-03,94.59,3,8,2023
2023-08-02,94.595,2,8,2023
2023-08-01,94.59,1,8,2023
2023-07-31,94.59,31,7,2023
2023-07-28,94.59,28,7,2023
2023-07-27,94.58,27,7,2023
2023-07-26,94.575,26,7,2023
2023-07-25,94.57,25,7,2023
2023-07-24,94.585,24,7,2023
2023-07-21,94.6,21,7,2023
2023-07-20,94.59,20,7,2023
2023-07-19,94.605,19,7,2023
