sep=,
"Date","Open(Q.SR1M)","High(Q.SR1M)","Low(Q.SR1M)","Last(Q.SR1M)"
"3/1/2019","","","","2.4459"
"4/1/2019","","","","2.4375"
"7/1/2019","","","","2.424"
"8/1/2019","","","","2.4217"
"9/1/2019","","","","2.4249"
"10/1/2019","","","","2.4329"
"11/1/2019","","","","2.4314"
"14/1/2019","","","","2.4309"
"15/1/2019","","","","2.4343"
"16/1/2019","","","","2.4316"
"17/1/2019","","","","2.4357"
"18/1/2019","","","","2.4401"
"22/1/2019","","","","2.4444"
"23/1/2019","","","","2.4475"
"24/1/2019","","","","2.4527"
"25/1/2019","","","","2.4559"
"28/1/2019","","","","2.4553"
"29/1/2019","","","","2.4533"
"30/1/2019","","","","2.4496"
"31/1/2019","","","","2.4505"
"1/2/2019","","","","2.4508"
"4/2/2019","","","","2.4438"
"5/2/2019","","","","2.4455"
"6/2/2019","","","","2.4436"
"7/2/2019","","","","2.4408"
"8/2/2019","","","","2.4437"
"11/2/2019","","","","2.4482"
"12/2/2019","","","","2.4537"
"13/2/2019","","","","2.4534"
"14/2/2019","","","","2.4568"
"15/2/2019","","","","2.462"
"19/2/2019","","","","2.465"
"20/2/2019","","","","2.4633"
"21/2/2019","","","","2.4633"
"22/2/2019","","","","2.4628"
"25/2/2019","","","","2.4648"
"26/2/2019","","","","2.4714"
"27/2/2019","","","","2.4701"
"28/2/2019","","","","2.4679"
"1/3/2019","","","","2.4681"
"4/3/2019","","","","2.4613"
"5/3/2019","","","","2.4648"
"6/3/2019","","","","2.4607"
"7/3/2019","","","","2.4491"
"8/3/2019","","","","2.4404"
"11/3/2019","","","","2.4414"
"12/3/2019","","","","2.446"
"13/3/2019","","","","2.4485"
"14/3/2019","","","","2.4403"
"15/3/2019","","","","2.4367"
"18/3/2019","","","","2.4334"
"20/3/2019","","","","2.4243"
"21/3/2019","","","","2.4305"
"22/3/2019","","","","2.452"
"25/3/2019","","","","2.4403"
"26/3/2019","","","","2.4318"
"27/3/2019","","","","2.4268"
"28/3/2019","","","","2.4256"
"29/3/2019","","","","2.422"
"1/4/2019","","","","2.4052"
"2/4/2019","","","","2.4009"
"3/4/2019","","","","2.4032"
"4/4/2019","","","","2.41"
"5/4/2019","","","","2.4192"
"8/4/2019","","","","2.4228"
"9/4/2019","","","","2.42"
"10/4/2019","","","","2.4262"
"11/4/2019","","","","2.4255"
"12/4/2019","","","","2.4245"
"15/4/2019","","","","2.4248"
"16/4/2019","","","","2.4279"
"17/4/2019","","","","2.4339"
"18/4/2019","","","","2.4471"
