Date,Last(Q.SR3M),dd,mm,yyyy
2023-11-21,5.37151,21,11,2023
2023-11-17,5.3671,17,11,2023
2023-11-16,5.36937,16,11,2023
2023-11-15,5.39021,15,11,2023
2023-11-14,5.37972,14,11,2023
2023-11-13,5.37764,13,11,2023
2023-11-10,5.37103,10,11,2023
2023-11-09,5.36908,9,11,2023
2023-11-08,5.36567,8,11,2023
2023-11-07,5.36806,7,11,2023
2023-11-03,5.38017,3,11,2023
2023-11-02,5.3927,2,11,2023
2023-09-29,5.3955,29,9,2023
2023-09-28,5.39482,28,9,2023
2023-09-27,5.39008,27,9,2023
2023-09-26,5.38558,26,9,2023
2023-09-25,5.39112,25,9,2023
2023-09-22,5.39981,22,9,2023
2023-09-21,5.40009,21,9,2023
2023-09-20,5.39613,20,9,2023
2023-09-19,5.39702,19,9,2023
2023-09-18,5.39785,18,9,2023
2023-09-15,5.41009,15,9,2023
2023-09-14,5.41009,14,9,2023
2023-09-13,5.40943,13,9,2023
2023-09-12,5.40822,12,9,2023
2023-09-11,5.40525,11,9,2023
2023-09-08,5.41047,8,9,2023
2023-09-07,5.41099,7,9,2023
2023-09-06,5.39773,6,9,2023
2023-09-05,5.39108,5,9,2023
2023-09-01,5.4023,1,9,2023
2023-08-31,5.40122,31,8,2023
2023-08-30,5.4096,30,8,2023
2023-08-29,5.42245,29,8,2023
2023-08-28,5.41744,28,8,2023
2023-08-25,5.40389,25,8,2023
2023-08-24,5.3879,24,8,2023
2023-08-23,5.39105,23,8,2023
2023-08-22,5.38307,22,8,2023
2023-08-21,5.37734,21,8,2023
2023-08-18,5.38317,18,8,2023
2023-08-17,5.37976,17,8,2023
2023-08-16,5.37923,16,8,2023
2023-08-15,5.37648,15,8,2023
2023-08-14,5.37183,14,8,2023
2023-08-11,5.36457,11,8,2023
2023-08-10,5.36915,10,8,2023
2023-08-09,5.36678,9,8,2023
2023-08-08,5.36528,8,8,2023
2023-08-07,5.36743,7,8,2023
2023-08-04,5.37058,4,8,2023
2023-08-03,5.36985,3,8,2023
2023-08-02,5.36941,2,8,2023
2023-08-01,5.36635,1,8,2023
2023-07-31,5.36532,31,7,2023
2023-07-28,5.37191,28,7,2023
2023-07-27,5.36912,27,7,2023
2023-07-26,5.36559,26,7,2023
2023-07-25,5.35736,25,7,2023
2023-07-24,5.35064,24,7,2023
2023-07-21,5.35121,21,7,2023
2023-07-20,5.34557,20,7,2023
2023-07-19,5.33352,19,7,2023
2023-07-18,5.32614,18,7,2023
2023-07-17,5.30989,17,7,2023
2023-07-14,5.30989,14,7,2023
2023-07-13,5.30796,13,7,2023
2023-07-12,5.31105,12,7,2023
2023-07-11,5.30109,11,7,2023
2023-07-10,5.2995,10,7,2023
2023-07-07,5.29847,7,7,2023
2023-07-06,5.2809,6,7,2023
2023-07-05,5.27676,5,7,2023
2023-07-03,5.26874,3,7,2023
2023-06-30,5.26836,30,6,2023
2023-06-29,5.24665,29,6,2023
2023-06-28,5.24187,28,6,2023
2023-06-27,5.23932,27,6,2023
2023-06-26,5.23471,26,6,2023
2023-06-23,5.2387,23,6,2023
2023-06-22,5.24626,22,6,2023
2023-06-21,5.22913,21,6,2023
2023-06-20,5.22025,20,6,2023
2023-06-16,5.20684,16,6,2023
2023-06-15,5.21617,15,6,2023
2023-06-14,5.21811,14,6,2023
2023-06-13,5.25432,13,6,2023
2023-06-12,5.24938,12,6,2023
2023-06-09,5.24154,9,6,2023
2023-06-08,5.25059,8,6,2023
2023-06-07,5.23808,7,6,2023
2023-06-06,5.23884,6,6,2023
2023-06-05,5.25323,5,6,2023
2023-06-02,5.23034,2,6,2023
2023-06-01,5.27638,1,6,2023
2023-05-31,5.29282,31,5,2023
2023-05-30,5.27665,30,5,2023
2023-05-26,5.26374,26,5,2023
2023-05-25,5.22528,25,5,2023
2023-05-24,5.19155,24,5,2023
2023-05-23,5.16617,23,5,2023
2023-05-22,5.15085,22,5,2023
2023-05-19,5.16347,19,5,2023
2023-05-18,5.12936,18,5,2023
2023-05-17,5.11233,17,5,2023
2023-05-16,5.09792,16,5,2023
2023-05-15,5.08967,15,5,2023
2023-05-12,5.0668,12,5,2023
2023-05-11,5.08634,11,5,2023
2023-05-10,5.09811,10,5,2023
2023-05-09,5.08393,9,5,2023
2023-05-08,5.07218,8,5,2023
2023-05-05,5.03873,5,5,2023
2023-05-04,5.0727,4,5,2023
2023-05-03,5.05947,3,5,2023
2023-05-02,5.11141,2,5,2023
2023-05-01,5.08929,1,5,2023
2023-04-28,5.08132,28,4,2023
2023-04-27,5.04345,27,4,2023
2023-04-26,5.04542,26,4,2023
2023-04-25,5.07877,25,4,2023
2023-04-24,5.06803,24,4,2023
2023-04-21,5.06775,21,4,2023
2023-04-20,5.0706,20,4,2023
