sep=,
"Date","Open(QUSD1MFSR=X)","High(QUSD1MFSR=X)","Low(QUSD1MFSR=X)","Last(QUSD1MFSR=X)"
"21/11/2023","","","","5.45527"
"20/11/2023","","","","5.44931"
"17/11/2023","","","","5.44701"
"16/11/2023","","","","5.44555"
"15/11/2023","","","","5.44407"
"14/11/2023","","","","5.44401"
"13/11/2023","","","","5.43739"
"10/11/2023","","","","5.43678"
"9/11/2023","","","","5.43567"
"8/11/2023","","","","5.43581"
"7/11/2023","","","","5.43645"
"6/11/2023","","","","5.43792"
"3/11/2023","","","","5.43624"
"2/11/2023","","","","5.44419"
"1/11/2023","","","","5.43719"
"31/10/2023","","","","5.43407"
"30/10/2023","","","","5.43456"
"27/10/2023","","","","5.4386"
"26/10/2023","","","","5.44134"
"25/10/2023","","","","5.44053"
"24/10/2023","","","","5.43939"
"23/10/2023","","","","5.43892"
"20/10/2023","","","","5.44613"
"19/10/2023","","","","5.45314"
"18/10/2023","","","","5.45359"
"17/10/2023","","","","5.44799"
"16/10/2023","","","","5.4492"
"13/10/2023","","","","5.44981"
"12/10/2023","","","","5.44898"
"11/10/2023","","","","5.44686"
"10/10/2023","","","","5.46325"
"9/10/2023","","","","5.45555"
"6/10/2023","","","","5.45555"
"5/10/2023","","","","5.45046"
"4/10/2023","","","","5.44488"
"3/10/2023","","","","5.44199"
"2/10/2023","","","","5.43856"
"29/9/2023","","","","5.43347"
"28/9/2023","","","","5.42907"
"27/9/2023","","","","5.43056"
"26/9/2023","","","","5.43291"
"25/9/2023","","","","5.43193"
"22/9/2023","","","","5.43199"
"21/9/2023","","","","5.4342"
"20/9/2023","","","","5.43793"
"19/9/2023","","","","5.43857"
"18/9/2023","","","","5.43932"
"15/9/2023","","","","5.44156"
"14/9/2023","","","","5.44505"
"13/9/2023","","","","5.44668"
"12/9/2023","","","","5.44804"
"11/9/2023","","","","5.44281"
"8/9/2023","","","","5.44394"
"7/9/2023","","","","5.44381"
"6/9/2023","","","","5.44132"
"5/9/2023","","","","5.4421"
"4/9/2023","","","","5.44335"
"1/9/2023","","","","5.44335"
"31/8/2023","","","","5.44189"
"30/8/2023","","","","5.44416"
"29/8/2023","","","","5.44554"
"25/8/2023","","","","5.44331"
"24/8/2023","","","","5.43472"
"23/8/2023","","","","5.42943"
"22/8/2023","","","","5.42978"
"21/8/2023","","","","5.43226"
"18/8/2023","","","","5.42875"
"17/8/2023","","","","5.42846"
"16/8/2023","","","","5.42643"
"15/8/2023","","","","5.42824"
"14/8/2023","","","","5.42709"
"11/8/2023","","","","5.42496"
"10/8/2023","","","","5.42695"
"9/8/2023","","","","5.42694"
"8/8/2023","","","","5.42688"
"7/8/2023","","","","5.43031"
"4/8/2023","","","","5.43172"
"3/8/2023","","","","5.43088"
"2/8/2023","","","","5.43162"
"1/8/2023","","","","5.43243"
"31/7/2023","","","","5.43232"
"28/7/2023","","","","5.43258"
"27/7/2023","","","","5.43313"
"26/7/2023","","","","5.43185"
"25/7/2023","","","","5.43"
"24/7/2023","","","","5.41986"
"21/7/2023","","","","5.41247"
"20/7/2023","","","","5.40582"
"19/7/2023","","","","5.37805"
"18/7/2023","","","","5.36905"
