Date,Bid,Ask,Mid
23-Nov-2023,5.3295,5.3795,5.3545
22-Nov-2023,5.3280,5.3780,5.353
21-Nov-2023,5.3210,5.3710,5.346
20-Nov-2023,5.3211,5.3711,5.3461
17-Nov-2023,5.3193,5.3693,5.3443
16-Nov-2023,5.3173,5.3673,5.3423
15-Nov-2023,5.3167,5.3667,5.3417
14-Nov-2023,5.3148,5.3648,5.3398
13-Nov-2023,5.3167,5.3667,5.3417
10-Nov-2023,5.3142,5.3642,5.3392
09-Nov-2023,5.3136,5.3636,5.3386
08-Nov-2023,5.3122,5.3622,5.3372
07-Nov-2023,5.3290,5.3490,5.339
06-Nov-2023,5.3139,5.3639,5.3389
03-Nov-2023,5.3136,5.3636,5.3386
02-Nov-2023,5.3133,5.3633,5.3383
01-Nov-2023,5.3132,5.3632,5.3382
31-Oct-2023,5.3168,5.3668,5.3418
30-Oct-2023,5.3150,5.3650,5.34
27-Oct-2023,5.3260,5.3460,5.336
26-Oct-2023,5.3158,5.3658,5.3408
25-Oct-2023,5.3195,5.3695,5.3445
24-Oct-2023,5.3187,5.3687,5.3437
23-Oct-2023,5.3178,5.3678,5.3428
20-Oct-2023,5.3300,5.3500,5.34
19-Oct-2023,5.3186,5.3686,5.3436
18-Oct-2023,5.3250,5.3750,5.35
17-Oct-2023,5.3325,5.3825,5.3575
16-Oct-2023,5.3280,5.3780,5.353
13-Oct-2023,5.3233,5.3733,5.3483
12-Oct-2023,5.3268,5.3768,5.3518
11-Oct-2023,5.3240,5.3740,5.349
10-Oct-2023,5.3261,5.3761,5.3511
09-Oct-2023,5.3251,5.3751,5.3501
06-Oct-2023,5.3410,5.3910,5.366
05-Oct-2023,5.3351,5.3851,5.3601
04-Oct-2023,5.3309,5.3809,5.3559
03-Oct-2023,5.3252,5.3752,5.3502
02-Oct-2023,5.3249,5.3749,5.3499
29-Sep-2023,5.3151,5.3651,5.3401
28-Sep-2023,5.3154,5.3654,5.3404
27-Sep-2023,5.3290,5.3490,5.339
26-Sep-2023,5.3149,5.3649,5.3399
25-Sep-2023,5.3290,5.3490,5.339
22-Sep-2023,5.3152,5.3652,5.3402
21-Sep-2023,5.3160,5.3660,5.341
20-Sep-2023,5.3300,5.3500,5.34
19-Sep-2023,5.3210,5.3710,5.346
18-Sep-2023,5.3231,5.3731,5.3481
15-Sep-2023,5.3223,5.3723,5.3473
14-Sep-2023,5.3370,5.3570,5.347
13-Sep-2023,5.3230,5.3730,5.348
12-Sep-2023,5.3329,5.3829,5.3579
11-Sep-2023,5.3470,5.3670,5.357
08-Sep-2023,5.3260,5.3760,5.351
07-Sep-2023,5.3260,5.3760,5.351
06-Sep-2023,5.3307,5.3807,5.3557
05-Sep-2023,5.3285,5.3785,5.3535
04-Sep-2023,5.3271,5.3771,5.3521
01-Sep-2023,5.3267,5.3767,5.3517
31-Aug-2023,5.3460,5.3660,5.356
30-Aug-2023,5.3291,5.3791,5.3541
29-Aug-2023,5.3330,5.3730,5.353
28-Aug-2023,5.3301,5.3801,5.3551
25-Aug-2023,5.3312,5.3812,5.3562
24-Aug-2023,5.3274,5.3774,5.3524
23-Aug-2023,5.3207,5.3707,5.3457
22-Aug-2023,5.3178,5.3678,5.3428
21-Aug-2023,5.3188,5.3688,5.3438
18-Aug-2023,5.3149,5.3649,5.3399
17-Aug-2023,5.3156,5.3656,5.3406
16-Aug-2023,5.3150,5.3650,5.34
15-Aug-2023,5.3156,5.3656,5.3406
14-Aug-2023,5.3154,5.3654,5.3404
11-Aug-2023,5.3300,5.3500,5.34
10-Aug-2023,5.3124,5.3624,5.3374
09-Aug-2023,5.3137,5.3637,5.3387
08-Aug-2023,5.3290,5.3490,5.339
07-Aug-2023,5.3143,5.3643,5.3393
04-Aug-2023,5.3129,5.3629,5.3379
03-Aug-2023,5.3382,5.3882,5.3632
02-Aug-2023,5.3306,5.3806,5.3556
01-Aug-2023,5.3226,5.3726,5.3476
31-Jul-2023,5.3152,5.3652,5.3402
28-Jul-2023,5.3128,5.3628,5.3378
27-Jul-2023,5.3118,5.3618,5.3368
26-Jul-2023,5.3211,5.3711,5.3461
25-Jul-2023,5.3146,5.3646,5.3396
24-Jul-2023,5.3150,5.3350,5.325
21-Jul-2023,5.2884,5.3384,5.3134
20-Jul-2023,5.2800,5.3300,5.305
19-Jul-2023,5.2550,5.3050,5.28
18-Jul-2023,5.2480,5.2980,5.273
17-Jul-2023,5.2500,5.2900,5.27
14-Jul-2023,5.2400,5.2600,5.25
13-Jul-2023,5.2220,5.2620,5.242
12-Jul-2023,5.2060,5.2260,5.216
11-Jul-2023,5.1860,5.2360,5.211
10-Jul-2023,5.1980,5.2180,5.208
07-Jul-2023,5.1669,5.2169,5.1919
06-Jul-2023,5.1590,5.2090,5.184
05-Jul-2023,5.1465,5.1965,5.1715
04-Jul-2023,5.1490,5.1690,5.159
03-Jul-2023,5.1320,5.1820,5.157
30-Jun-2023,5.1270,5.1770,5.152
29-Jun-2023,5.1199,5.1699,5.1449
28-Jun-2023,5.0933,5.1433,5.1183
27-Jun-2023,5.1000,5.1200,5.11
26-Jun-2023,5.0793,5.1293,5.1043
23-Jun-2023,5.0680,5.1080,5.088
22-Jun-2023,5.0585,5.1085,5.0835
21-Jun-2023,5.0598,5.1098,5.0848
20-Jun-2023,5.0584,5.1084,5.0834
19-Jun-2023,5.0710,5.1110,5.091
16-Jun-2023,5.0630,5.1130,5.088
15-Jun-2023,5.0595,5.1095,5.0845
14-Jun-2023,5.0589,5.1089,5.0839
13-Jun-2023,5.0782,5.1282,5.1032
12-Jun-2023,5.1219,5.1719,5.1469
09-Jun-2023,5.1400,5.1800,5.16
08-Jun-2023,5.1183,5.1683,5.1433
07-Jun-2023,5.1227,5.1727,5.1477
06-Jun-2023,5.1018,5.1518,5.1268
05-Jun-2023,5.1069,5.1569,5.1319
02-Jun-2023,5.1170,5.1670,5.142
01-Jun-2023,5.1083,5.1583,5.1333
31-May-2023,5.1547,5.2047,5.1797
30-May-2023,5.1640,5.2040,5.184
29-May-2023,5.1482,5.1982,5.1732
26-May-2023,5.1530,5.1730,5.163
