"Date","Open(QUSD3MFSR=X)","High(QUSD3MFSR=X)","Low(QUSD3MFSR=X)","Last(QUSD3MFSR=X)"
"21/11/2023","","","","5.63963"
"20/11/2023","","","","5.63312"
"17/11/2023","","","","5.62854"
"16/11/2023","","","","5.62871"
"15/11/2023","","","","5.63098"
"14/11/2023","","","","5.65182"
"13/11/2023","","","","5.64133"
"10/11/2023","","","","5.63925"
"9/11/2023","","","","5.63264"
"8/11/2023","","","","5.63069"
"7/11/2023","","","","5.62728"
"6/11/2023","","","","5.62967"
"3/11/2023","","","","5.64178"
"2/11/2023","","","","5.65431"
"1/11/2023","","","","5.65351"
"31/10/2023","","","","5.64436"
"30/10/2023","","","","5.63873"
"27/10/2023","","","","5.64482"
"26/10/2023","","","","5.65159"
"25/10/2023","","","","5.6491"
"24/10/2023","","","","5.64121"
"23/10/2023","","","","5.63983"
"20/10/2023","","","","5.66008"
"19/10/2023","","","","5.67354"
"18/10/2023","","","","5.67743"
"17/10/2023","","","","5.65842"
"16/10/2023","","","","5.65665"
"13/10/2023","","","","5.66444"
"12/10/2023","","","","5.65548"
"11/10/2023","","","","5.65538"
"10/10/2023","","","","5.68738"
"9/10/2023","","","","5.66835"
"6/10/2023","","","","5.66835"
"5/10/2023","","","","5.66781"
"4/10/2023","","","","5.68401"
"3/10/2023","","","","5.6759"
"2/10/2023","","","","5.64976"
"29/9/2023","","","","5.65711"
"28/9/2023","","","","5.65643"
"27/9/2023","","","","5.65169"
"26/9/2023","","","","5.64719"
"25/9/2023","","","","5.65273"
"22/9/2023","","","","5.66142"
"21/9/2023","","","","5.6617"
"20/9/2023","","","","5.65774"
"19/9/2023","","","","5.65863"
"18/9/2023","","","","5.65946"
"15/9/2023","","","","5.66329"
"14/9/2023","","","","5.6717"
"13/9/2023","","","","5.67104"
"12/9/2023","","","","5.66983"
"11/9/2023","","","","5.66686"
"8/9/2023","","","","5.67208"
"7/9/2023","","","","5.6726"
"6/9/2023","","","","5.65934"
"5/9/2023","","","","5.65269"
"4/9/2023","","","","5.66391"
"1/9/2023","","","","5.66391"
"31/8/2023","","","","5.66283"
"30/8/2023","","","","5.67121"
"29/8/2023","","","","5.68406"
"25/8/2023","","","","5.6655"
"24/8/2023","","","","5.64951"
"23/8/2023","","","","5.65266"
"22/8/2023","","","","5.64468"
"21/8/2023","","","","5.63895"
"18/8/2023","","","","5.64478"
"17/8/2023","","","","5.64137"
"16/8/2023","","","","5.64084"
"15/8/2023","","","","5.63809"
"14/8/2023","","","","5.63344"
"11/8/2023","","","","5.62618"
"10/8/2023","","","","5.63076"
"9/8/2023","","","","5.62839"
"8/8/2023","","","","5.62689"
"7/8/2023","","","","5.62904"
"4/8/2023","","","","5.63219"
"3/8/2023","","","","5.63146"
"2/8/2023","","","","5.63102"
"1/8/2023","","","","5.62796"
"31/7/2023","","","","5.62693"
"28/7/2023","","","","5.63352"
"27/7/2023","","","","5.63073"
"26/7/2023","","","","5.6272"
"25/7/2023","","","","5.61897"
"24/7/2023","","","","5.61225"
"21/7/2023","","","","5.61282"
"20/7/2023","","","","5.60718"
"19/7/2023","","","","5.59513"
"18/7/2023","","","","5.58775"
"17/7/2023","","","","5.58173"
"14/7/2023","","","","5.5715"
"13/7/2023","","","","5.56957"
"12/7/2023","","","","5.57266"
"11/7/2023","","","","5.5627"
"10/7/2023","","","","5.56111"
"7/7/2023","","","","5.56008"
"6/7/2023","","","","5.54251"
"5/7/2023","","","","5.53837"
"4/7/2023","","","","5.53035"
"3/7/2023","","","","5.53035"
"30/6/2023","","","","5.54543"
"29/6/2023","","","","5.53343"
"28/6/2023","","","","5.53786"
"27/6/2023","","","","5.52871"
"26/6/2023","","","","5.521"
"23/6/2023","","","","5.54414"
"22/6/2023","","","","5.54186"
"21/6/2023","","","","5.53957"
"20/6/2023","","","","5.52029"
"19/6/2023","","","","5.51429"
"16/6/2023","","","","5.51"
"15/6/2023","","","","5.51371"
"14/6/2023","","","","5.50843"
"13/6/2023","","","","5.552"
"12/6/2023","","","","5.55743"
"9/6/2023","","","","5.54443"
"8/6/2023","","","","5.53971"
"7/6/2023","","","","5.50986"
"6/6/2023","","","","5.51329"
"5/6/2023","","","","5.50914"
"2/6/2023","","","","5.49629"
"1/6/2023","","","","5.49857"
"31/5/2023","","","","5.51671"
