Date,Bid,Ask
23-Nov-2023,5.3610,5.4110
22-Nov-2023,5.3606,5.4106
21-Nov-2023,5.3520,5.4020
20-Nov-2023,5.3491,5.3991
17-Nov-2023,5.3446,5.3946
16-Nov-2023,5.3412,5.3912
15-Nov-2023,5.3436,5.3936
14-Nov-2023,5.3399,5.3899
13-Nov-2023,5.3690,5.4190
10-Nov-2023,5.3618,5.4118
09-Nov-2023,5.3637,5.4137
08-Nov-2023,5.3574,5.4074
07-Nov-2023,5.3536,5.4036
06-Nov-2023,5.3530,5.4030
03-Nov-2023,5.3494,5.3994
02-Nov-2023,5.3692,5.4192
01-Nov-2023,5.3810,5.4010
31-Oct-2023,5.3805,5.4305
30-Oct-2023,5.3731,5.4231
27-Oct-2023,5.3606,5.4106
26-Oct-2023,5.3656,5.4156
25-Oct-2023,5.3900,5.4100
24-Oct-2023,5.3735,5.4235
23-Oct-2023,5.3686,5.4186
20-Oct-2023,5.3628,5.4128
19-Oct-2023,5.3720,5.4220
18-Oct-2023,5.3920,5.4420
17-Oct-2023,5.4039,5.4539
16-Oct-2023,5.3848,5.4348
13-Oct-2023,5.3950,5.4150
12-Oct-2023,5.3881,5.4381
11-Oct-2023,5.3757,5.4257
10-Oct-2023,5.3835,5.4335
09-Oct-2023,5.3810,5.4210
06-Oct-2023,5.4114,5.4614
05-Oct-2023,5.3933,5.4433
04-Oct-2023,5.3991,5.4491
03-Oct-2023,5.4110,5.4610
02-Oct-2023,5.4053,5.4553
29-Sep-2023,5.3960,5.4160
28-Sep-2023,5.3910,5.4310
27-Sep-2023,5.3908,5.4408
26-Sep-2023,5.3789,5.4289
25-Sep-2023,5.3793,5.4293
22-Sep-2023,5.3810,5.4310
21-Sep-2023,5.3918,5.4418
20-Sep-2023,5.3931,5.4431
19-Sep-2023,5.3893,5.4393
18-Sep-2023,5.3903,5.4403
15-Sep-2023,5.3869,5.4369
14-Sep-2023,5.3919,5.4419
13-Sep-2023,5.3930,5.4430
12-Sep-2023,5.4011,5.4511
11-Sep-2023,5.4029,5.4529
08-Sep-2023,5.4170,5.4370
07-Sep-2023,5.4007,5.4507
06-Sep-2023,5.4038,5.4538
05-Sep-2023,5.3964,5.4464
04-Sep-2023,5.3866,5.4366
01-Sep-2023,5.3860,5.4360
31-Aug-2023,5.4110,5.4310
30-Aug-2023,5.3988,5.4488
29-Aug-2023,5.3957,5.4457
28-Aug-2023,5.4174,5.4674
25-Aug-2023,5.4250,5.4450
24-Aug-2023,5.4016,5.4516
23-Aug-2023,5.3845,5.4345
22-Aug-2023,5.3894,5.4394
21-Aug-2023,5.3834,5.4334
18-Aug-2023,5.3712,5.4212
17-Aug-2023,5.3730,5.4230
16-Aug-2023,5.3800,5.4200
15-Aug-2023,5.3712,5.4212
14-Aug-2023,5.3702,5.4202
11-Aug-2023,5.3652,5.4152
10-Aug-2023,5.3623,5.4123
09-Aug-2023,5.3665,5.4165
08-Aug-2023,5.3650,5.4150
07-Aug-2023,5.3628,5.4128
04-Aug-2023,5.3573,5.4073
03-Aug-2023,5.3740,5.4240
02-Aug-2023,5.3790,5.3990
01-Aug-2023,5.3670,5.4170
31-Jul-2023,5.3619,5.4119
28-Jul-2023,5.3604,5.4104
27-Jul-2023,5.3620,5.4120
26-Jul-2023,5.3760,5.3960
25-Jul-2023,5.3546,5.4046
24-Jul-2023,5.3620,5.3820
21-Jul-2023,5.3380,5.3880
20-Jul-2023,5.3340,5.3840
19-Jul-2023,5.3340,5.3740
18-Jul-2023,5.3226,5.3726
17-Jul-2023,5.3270,5.3470
14-Jul-2023,5.3057,5.3557
13-Jul-2023,5.2950,5.3450
12-Jul-2023,5.2948,5.3448
11-Jul-2023,5.2955,5.3455
10-Jul-2023,5.2904,5.3404
07-Jul-2023,5.2828,5.3328
06-Jul-2023,5.2829,5.3329
05-Jul-2023,5.2800,5.3000
04-Jul-2023,5.2624,5.3124
03-Jul-2023,5.2570,5.3070
30-Jun-2023,5.2650,5.2850
29-Jun-2023,5.2529,5.3029
28-Jun-2023,5.2200,5.2700
27-Jun-2023,5.2230,5.2630
26-Jun-2023,5.2178,5.2678
23-Jun-2023,5.2130,5.2530
22-Jun-2023,5.2153,5.2653
21-Jun-2023,5.2091,5.2591
20-Jun-2023,5.2111,5.2611
19-Jun-2023,5.2002,5.2502
16-Jun-2023,5.2140,5.2340
15-Jun-2023,5.2010,5.2210
14-Jun-2023,5.1827,5.2327
13-Jun-2023,5.1937,5.2437
12-Jun-2023,5.2359,5.2859
09-Jun-2023,5.2390,5.2790
08-Jun-2023,5.2186,5.2686
07-Jun-2023,5.2200,5.2700
06-Jun-2023,5.2055,5.2555
05-Jun-2023,5.2062,5.2562
02-Jun-2023,5.2290,5.2490
01-Jun-2023,5.1942,5.2442
31-May-2023,5.2240,5.2440
30-May-2023,5.2620,5.3120
29-May-2023,5.2620,5.2820
26-May-2023,5.2520,5.3020
25-May-2023,5.2429,5.2929
24-May-2023,5.2072,5.2572
23-May-2023,5.1650,5.2150
22-May-2023,5.1493,5.1993
19-May-2023,5.1310,5.1710
18-May-2023,5.1460,5.1860
17-May-2023,5.1069,5.1569
16-May-2023,5.0871,5.1371
15-May-2023,5.0841,5.1341
12-May-2023,5.0890,5.1090
11-May-2023,5.0600,5.1100
10-May-2023,5.0548,5.1048
09-May-2023,5.0892,5.1392
08-May-2023,5.0770,5.1170
05-May-2023,5.0590,5.0990
04-May-2023,5.0470,5.0670
03-May-2023,5.0720,5.1220
02-May-2023,5.0590,5.0790
01-May-2023,5.1070,5.1570
28-Apr-2023,5.0840,5.1040
27-Apr-2023,5.0858,5.1358
26-Apr-2023,5.0500,5.0700
25-Apr-2023,5.0249,5.0749
24-Apr-2023,5.0750,5.1250
21-Apr-2023,5.0650,5.1150
20-Apr-2023,5.0630,5.1030
19-Apr-2023,5.0618,5.1118
18-Apr-2023,5.0437,5.0937
17-Apr-2023,5.0450,5.0950
14-Apr-2023,5.0190,5.0690
13-Apr-2023,4.9761,5.0261
12-Apr-2023,4.9750,5.0250
11-Apr-2023,4.9771,5.0271
10-Apr-2023,4.9742,5.0242
07-Apr-2023,4.9576,5.0076
06-Apr-2023,4.9058,4.9558
05-Apr-2023,4.8945,4.9445
04-Apr-2023,4.8870,4.9370
03-Apr-2023,4.9245,4.9745
31-Mar-2023,4.9120,4.9520
30-Mar-2023,4.9020,4.9520
29-Mar-2023,4.8840,4.9340
28-Mar-2023,4.8806,4.9306
27-Mar-2023,4.8947,4.9447
24-Mar-2023,4.8300,4.8500
23-Mar-2023,4.8561,4.9061
22-Mar-2023,4.8900,4.9100
21-Mar-2023,4.8780,4.9280
20-Mar-2023,4.8320,4.8720
17-Mar-2023,4.7520,4.7920
16-Mar-2023,4.8540,4.8940
15-Mar-2023,4.7569,4.8069
14-Mar-2023,4.8382,4.8882
13-Mar-2023,4.7060,4.7460
10-Mar-2023,4.9830,5.0330
09-Mar-2023,5.0850,5.1350
08-Mar-2023,5.1197,5.1697
07-Mar-2023,5.0676,5.1176
06-Mar-2023,4.9690,4.9890
03-Mar-2023,4.9570,4.9770
02-Mar-2023,4.9379,4.9879
01-Mar-2023,4.9328,4.9828
28-Feb-2023,4.8940,4.9440
27-Feb-2023,4.9005,4.9505
24-Feb-2023,4.8960,4.9360
23-Feb-2023,4.8850,4.9350
22-Feb-2023,4.8690,4.8890
21-Feb-2023,4.7977,4.8477
20-Feb-2023,4.8410,4.8610
17-Feb-2023,4.8260,4.8660
